Wavelength [nm],Intensity(a.u.)
216.925,60.21280919
217.268,94.39085623
217.610,-40.21828755
217.953,76.90275893
218.296,161.0895458
218.638,72.56720874
218.981,-84.4870526
219.324,-17.34957107
219.666,136.5033602
220.009,298.3686178
220.351,354.376313
220.694,438.7187112
221.037,428.1237857
221.379,211.0498277
221.722,88.61188296
222.064,114.6707754
222.407,224.6228397
222.750,166.7178639
223.092,-27.40129063
223.435,52.52201217
223.777,257.2530497
224.120,445.8712583
224.462,302.8739975
224.805,292.0895458
225.147,254.8479752
225.490,425.709124
225.832,514.2621145
226.175,662.2073308
226.517,640.7789733
226.859,420.7871908
227.202,178.3223766
227.544,117.4447927
227.887,95.21196193
228.229,38.51790342
228.571,-124.4355304
228.914,-22.0542614
229.256,63.91234608
229.599,303.4483791
229.941,83.51001078
230.283,167.6647747
230.626,153.0356094
230.968,405.0909154
231.310,333.0046311
231.653,385.415184
231.995,344.191418
232.337,304.8438664
232.679,56.17035181
233.022,135.2735936
233.364,457.6712978
233.706,454.845236
234.048,180.6945809
234.391,99.72608149
234.733,301.9123461
235.075,647.9616514
235.417,843.642014
235.759,1130.778126
236.102,1260.756213
236.444,1061.108198
236.786,785.8474529
237.128,550.8438664
237.470,458.8739975
237.812,251.9049758
238.154,4.36346437
238.497,-36.63464372
238.839,123.9315204
239.181,170.7748645
239.523,215.7973003
239.865,199.0511973
240.207,303.6283181
240.549,238.8036259
240.891,112.6729923
241.233,306.609991
241.575,419.8329097
241.917,329.9690217
242.259,-20.41413929
242.601,66.02054389
242.943,251.4858804
243.285,428.3023551
243.627,271.2201795
243.969,203.2571585
244.311,291.5644696
244.653,283.9005421
244.995,277.8370185
245.337,411.0630013
245.679,587.9452163
246.021,1077.611883
246.362,1160.901389
246.704,1513.112829
247.046,1385.021913
247.388,1379.45301
247.730,813.6197756
248.072,571.6978424
248.414,346.5891222
248.755,178.5398169
249.097,23.38642251
249.439,52.4576413
249.781,292.3283773
250.123,254.6891025
250.464,-12.81458266
250.806,-69.88358463
251.148,135.6379052
251.490,320.7740172
251.831,171.6329492
252.173,112.1005026
252.515,61.96249864
252.856,97.64833965
253.198,29.5872303
253.540,44.43520553
253.881,121.6055573
254.223,192.0142183
254.565,207.2867672
254.906,292.8575624
255.248,543.2831807
255.590,611.9964136
255.931,428.4365751
256.273,233.3146814
256.614,234.2210267
256.956,336.4922061
257.298,247.5858607
257.639,506.265376
257.981,623.7142775
258.322,821.1380039
258.664,587.1005026
259.005,609.6397972
259.347,652.8005618
259.688,590.6836241
260.030,420.4105528
260.371,269.642014
260.713,190.8775839
261.054,99.82880092
261.396,58.18183089
261.737,98.00873988
262.079,254.0205439
262.420,266.7871908
262.761,173.4086609
263.103,219.4401616
263.444,199.0465661
263.786,360.4607054
264.127,118.2383091
264.468,70.32048467
264.810,115.7496895
265.151,269.3757907
265.492,298.4310967
265.834,303.0095871
266.175,520.1301113
266.516,496.1903734
266.858,373.2396787
267.199,287.9739777
267.540,388.9799784
267.881,290.1229384
268.223,68.08817627
268.564,97.18078622
268.905,179.524229
269.246,205.9668048
269.588,34.03665404
269.929,42.59733978
270.270,395.8128882
270.611,573.4489015
270.952,558.5031628
271.294,584.3571388
271.635,595.26042
271.976,597.6356884
272.317,303.6598187
272.658,228.9986304
272.999,266.8721056
273.340,199.6140998
273.681,-1.590816756
274.023,165.77317
274.364,242.2941375
274.705,343.4612278
275.046,75.80962662
275.387,135.8657799
275.728,331.8091043
276.069,273.4346832
276.410,321.4078137
276.751,352.2201795
277.092,522.5425561
277.433,265.766322
277.774,91.4581637
278.115,156.4965123
278.456,371.0101095
278.797,393.9342596
279.138,261.457119
279.479,276.8923245
279.820,421.2626369
280.160,600.7009065
280.501,517.5415114
280.842,531.8794759
281.183,451.3283773
281.524,396.3886394
281.865,398.7375606
282.206,381.1809837
282.546,552.7233423
282.887,525.0082176
283.228,520.5625776
283.569,575.3174206
283.910,500.3987489
284.251,444.2256579
284.591,296.926042
284.932,325.2725489
285.273,559.7584294
285.614,491.5521432
285.954,342.5069467
286.295,285.8370185
286.636,482.6274708
286.976,474.8805205
287.317,360.7531484
287.658,331.216593
287.999,502.6283181
288.339,328.3054191
288.680,156.2621145
289.020,215.9977831
289.361,374.8306928
289.702,312.057198
290.042,49.73208221
290.383,125.623362
290.724,217.9287812
291.064,264.8534536
291.405,120.9539562
291.745,218.5589912
292.086,357.0032615
292.426,448.9506947
292.767,270.1922653
293.107,256.8909549
293.448,292.8580847
293.788,469.4028576
294.129,337.6772985
294.469,367.0256973
294.810,441.124308
295.150,681.704168
295.491,618.9616514
295.831,740.7734949
296.172,862.1717214
296.512,1238.978609
296.853,1188.222919
297.193,1178.953956
297.533,861.2210267
297.874,664.7973003
298.214,420.9402603
298.554,361.0722635
298.895,376.0037839
299.235,267.0155879
299.576,84.81921378
299.916,107.0854371
300.256,287.7055376
300.596,391.1380039
300.937,274.7438862
301.277,164.7474726
301.617,209.4420535
301.958,298.1667654
302.298,245.3242685
302.638,308.500946
302.978,574.2585281
303.318,696.9334123
303.659,622.2484186
303.999,468.1054586
304.339,467.9808257
304.679,539.5384473
305.019,513.939413
305.360,743.9736528
305.700,1216.121569
306.040,1991.509686
306.380,2941.296877
306.720,4312.815105
307.060,5583.322377
307.400,7034.86441
307.740,8588.652646
308.081,10749.34997
308.421,12258.2029
308.761,12701.35988
309.101,12094.50232
309.441,11136.22292
309.781,9779.551296
310.121,8217.638103
310.461,6776.543078
310.801,5853.619253
311.141,5024.735669
311.481,4297.306464
311.821,3593.526121
312.161,3599.406966
312.501,3797.723342
312.841,4246.470293
313.180,4237.151178
313.520,4551.611558
313.860,4834.117982
314.200,5330.669081
314.540,6001.932565
314.880,7283.801606
315.220,8576.777476
315.560,8981.458686
315.899,7877.691842
316.239,5789.913716
316.579,3421.283181
316.919,1572.790975
317.259,496.7430389
317.599,411.7676916
317.938,584.6142972
318.278,716.729343
318.618,418.8548232
318.958,397.9342596
319.297,388.0054784
319.637,402.3013104
319.977,191.8899103
320.316,290.5105331
320.656,479.0977634
320.996,484.4762933
321.336,324.5927087
321.675,171.8255394
322.015,396.3237462
322.354,395.2270275
322.694,452.3631395
323.034,279.6731897
323.373,264.4658589
323.713,113.9767169
324.053,89.31226712
324.392,254.8671495
324.732,502.5115777
325.071,490.1522222
325.411,310.3256381
325.750,282.1881565
326.090,315.1648735
326.429,384.2853976
326.769,138.3886394
327.108,391.9270866
327.448,473.0654155
327.787,811.3516604
328.127,447.5452953
328.466,412.1653958
328.806,371.5726871
329.145,493.5288602
329.485,353.2913983
329.824,308.3365949
330.163,371.3439652
330.503,469.5019906
330.842,948.685516
331.182,1168.618406
331.521,1508.700582
331.860,1203.298246
332.200,1284.97587
332.539,1307.429727
332.878,1645.647492
333.218,1962.606405
333.557,2545.916977
333.896,3307.556252
334.236,4329.948478
334.575,5625.825214
334.914,7537.49599
335.253,10515.59597
335.593,14431.01285
335.932,18804.08185
336.271,22925.85672
336.610,25262.54425
336.949,24873.43005
337.289,20981.12737
337.628,14988.98135
337.967,9031.567731
338.306,5148.473229
338.645,3240.964066
338.984,2347.259898
339.324,1691.179939
339.663,1527.672667
340.002,1329.045394
340.341,1086.307508
340.680,682.4946203
341.019,548.7074295
341.358,541.038546
341.697,654.459011
342.036,732.8918022
342.375,835.7452558
342.714,678.376313
343.053,482.1073505
343.392,328.0826979
343.731,384.8534536
344.070,405.0868067
344.409,315.9840872
344.748,256.7575821
345.087,375.5475121
345.426,499.709124
345.765,314.3429205
346.104,301.253897
346.443,517.4209873
346.782,666.9096069
347.121,548.6740369
347.459,476.5077939
347.798,653.8096266
348.137,717.7233423
348.476,477.1306336
348.815,514.784974
349.154,746.3489212
349.492,795.6740369
349.831,652.9635433
350.170,593.4617501
350.509,642.9525866
350.848,686.7639077
351.186,749.1766775
351.525,1144.698167
351.864,1664.093132
352.203,2055.636536
352.541,2403.711863
352.880,3023.183525
353.219,3867.991782
353.557,4254.651601
353.896,4013.229767
354.235,3326.201527
354.573,3491.744409
354.912,3590.430249
355.251,4217.948478
355.589,4845.064893
355.928,6455.611036
356.266,8560.346182
356.605,11042.75537
