Save Time: 2025-02-27 14:49:46
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,25.888 kHz,73.925 kHz
Period:,38.629 uS,13.527 uS
PK-PK:,3.560 V,70000.000 V


425,720.00,-10400000.00
426,760.00,12400000.00
427,680.00,-13200000.00
428,760.00,9600000.00
429,-1400.00,-8400000.00
430,-1320.00,15200000.00
431,-1400.00,-15200000.00
432,-1320.00,15200000.00
433,-1400.00,-17200000.00
434,-1360.00,12400000.00
435,-1400.00,-13600000.00
436,-1360.00,8400000.00
437,-1400.00,-7600000.00
438,-1360.00,7200000.00
439,-1400.00,-7200000.00
440,-1360.00,5600000.00
441,-1400.00,-5200000.00
442,-1320.00,7600000.00
443,-1360.00,-7600000.00
444,-1280.00,2800000.00
445,-1360.00,-2800000.00
446,-1240.00,2000000.00
447,-1320.00,-2000000.00
448,-1200.00,800000.00
449,-1280.00,-400000.00
450,-1160.00,400000.00
451,-1240.00,-400000.00
452,-1080.00,400000.00
453,-1160.00,0.00
454,-1040.00,400000.00
455,-1120.00,0.00
456,-960.00,400000.00
457,-1120.00,0.00
458,-800.00,400000.00
459,-1080.00,0.00
460,-800.00,400000.00
461,-1040.00,0.00
462,-680.00,400000.00
463,-960.00,0.00
464,-680.00,400000.00
465,-840.00,0.00
466,-600.00,400000.00
467,-800.00,0.00
468,-520.00,0.00
469,-720.00,0.00
470,-560.00,8000000.00
471,-680.00,-8000000.00
472,-480.00,10000000.00
473,-640.00,-9200000.00
474,-360.00,6400000.00
475,-600.00,-6400000.00
476,1560.00,20400000.00
477,-520.00,-19200000.00
478,1960.00,17200000.00
479,1320.00,-20000000.00
480,1600.00,9200000.00
481,1520.00,-9200000.00
482,1600.00,6800000.00
483,1560.00,-6000000.00
484,1600.00,10400000.00
485,1600.00,-10000000.00
486,1600.00,9200000.00
487,1600.00,-8800000.00
488,1600.00,8400000.00
489,1560.00,-6400000.00
490,1600.00,5200000.00
491,1560.00,-5600000.00
492,1560.00,14400000.00
493,1520.00,-12800000.00
494,1560.00,8800000.00
495,1480.00,-9600000.00
496,1480.00,3200000.00
497,1440.00,-3200000.00
498,1440.00,800000.00
499,1400.00,-1200000.00
500,1400.00,400000.00
501,1320.00,-400000.00
502,1360.00,0.00
503,1280.00,-400000.00
504,1440.00,0.00
505,1160.00,-400000.00
506,1280.00,0.00
507,1120.00,-400000.00
508,1200.00,0.00
509,1080.00,0.00
510,1200.00,0.00
511,920.00,-400000.00
512,1120.00,0.00
513,960.00,0.00
514,1080.00,0.00
515,840.00,0.00
516,1080.00,0.00
517,800.00,0.00
518,960.00,11200000.00
519,760.00,-12400000.00
520,880.00,12400000.00
521,680.00,-12400000.00
522,840.00,9200000.00
523,720.00,-10400000.00
524,800.00,12000000.00
525,-920.00,-15200000.00
526,-1040.00,14000000.00
527,-1440.00,-12800000.00
528,-1280.00,13200000.00
529,-1320.00,-14400000.00
530,-1240.00,13600000.00
531,-1400.00,-12400000.00
532,-1320.00,6800000.00
533,-1360.00,-7600000.00
534,-1360.00,4800000.00
535,-1400.00,-6800000.00
536,-1320.00,13600000.00
537,-1360.00,-14000000.00
538,-1320.00,8000000.00
539,-1360.00,-8400000.00
540,-1280.00,8000000.00
541,-1320.00,-9200000.00
542,-1240.00,5600000.00
543,-1320.00,-5200000.00
544,-1200.00,7600000.00
545,-1280.00,-8000000.00
