Wavelength [nm],Intensity(a.u.)
458.697,172.2079516
459.032,41.16802422
459.368,70.55616975
459.703,281.0097212
460.038,351.5302544
460.373,304.2905213
460.708,272.2744969
461.044,336.0845819
461.379,388.6348848
461.714,275.8114909
462.049,234.3962909
462.384,309.8741817
462.719,213.8448485
463.054,115.0606788
463.390,-13.09447273
463.725,247.5392728
464.060,260.0900121
464.395,224.5009212
464.730,103.9921211
465.065,237.7688485
465.400,344.4707151
465.735,211.9168239
466.070,140.1150546
466.405,85.3277332
466.740,224.1279268
467.075,171.7264727
467.410,362.3924364
467.745,437.5178182
468.080,293.7704242
468.415,5.243151347
468.750,-76.5735031
469.084,91.61728481
469.419,107.0735515
469.754,-6.74397548
470.089,-30.12940613
470.424,46.44523621
470.759,77.551006
471.094,30.31599998
471.428,90.1123395
471.763,171.916121
472.098,199.9102545
472.433,213.5083636
472.768,370.6039758
473.102,486.2620606
473.437,327.2302787
473.772,101.4957574
474.107,113.9513211
474.441,274.6709575
474.776,247.4025939
475.111,195.6461816
475.445,182.8103512
475.780,377.3477818
476.115,395.2988363
476.449,300.3015514
476.784,134.9039514
477.119,435.2972606
477.453,336.1950788
477.788,276.1876364
478.123,-6.806933482
478.457,253.3191515
478.792,442.4750061
479.126,393.3092604
479.461,257.4495274
479.795,224.9873938
480.130,242.9873938
480.464,269.8655999
480.799,286.4179152
481.133,287.916121
481.468,177.9607756
481.802,1.91655757
482.137,44.32545447
482.471,206.429212
482.806,268.1696
483.140,128.8558788
483.474,258.2999758
483.809,350.1479758
484.143,305.4781576
484.478,88.5031999
484.812,48.63330913
485.146,266.7911758
485.481,296.433503
485.815,241.076703
486.149,191.235006
486.484,274.7214788
486.818,297.0708364
487.152,123.2670546
487.486,367.7895999
487.821,422.6443394
488.155,425.8139394
488.489,74.91340601
488.823,150.3180121
489.158,257.2803637
489.492,164.4738666
489.826,64.94431504
490.160,81.44567283
490.494,163.5945211
490.829,137.7002909
491.163,128.7136
491.497,340.2952484
491.831,492.8491395
492.165,440.2169697
492.499,138.6567756
492.833,107.0390542
493.167,172.7938906
493.501,199.9278545
493.835,189.0191757
494.169,228.1253817
494.503,277.7857455
494.837,225.8236608
495.171,85.84555133
495.505,175.5036363
495.839,167.0457939
496.173,229.9325817
496.507,241.3234422
496.841,266.6732361
497.175,452.4237818
497.509,204.5158061
497.843,55.95604849
498.177,95.8890667
498.511,278.7104485
498.845,427.3254545
499.179,155.6928484
499.512,208.7194664
499.846,214.5577455
500.180,356.3062788
500.514,113.2823757
500.848,127.1664485
501.181,168.0744242
501.515,301.6608
501.849,91.22283641
502.183,18.22984227
502.517,229.8279515
502.850,266.1288001
503.184,187.7629819
503.518,251.8092121
503.851,344.1562909
504.185,316.0744242
504.519,24.41633932
504.852,84.74538179
505.186,147.6278788
505.520,159.0394909
505.853,6.280363719
506.187,81.2702059
506.521,159.7704242
506.854,255.848
507.188,138.2557576
507.521,162.6576485
507.855,187.6427636
508.188,153.9298666
508.522,204.2048
508.855,232.7131634
509.189,426.8024726
509.522,288.1315152
509.856,99.87847273
510.189,25.08414547
510.523,146.9968484
510.856,207.0994666
511.190,197.7794424
511.523,122.4237818
511.857,288.7790062
512.190,168.832242
512.523,109.2169697
512.857,142.3948849
513.190,438.2913938
513.523,480.8146424
513.857,374.1797576
514.190,199.5545939
514.523,208.3026909
514.857,162.076703
515.190,-30.27151529
515.523,12.31599998
515.857,196.7907391
516.190,209.5142303
516.523,7.849139452
516.856,-11.56448487
517.190,186.4833212
517.523,241.3849939
517.856,-20.13010899
518.189,133.3504968
518.522,455.5158061
518.856,517.4860365
519.189,348.557309
519.522,130.9576241
519.855,274.9298666
520.188,173.7548363
520.521,114.1159273
520.854,50.79975748
521.187,381.4068848
521.520,379.8135031
521.854,340.1691637
522.187,203.7115877
522.520,297.505915
522.853,421.1134785
523.186,364.3360484
523.519,369.8574546
523.852,390.0356364
524.185,210.9055273
524.518,80.58392739
524.851,54.32659396
525.183,259.8263756
525.516,348.1161941
525.849,380.3112726
526.182,520.6301576
526.515,710.1112
526.848,456.7778667
527.181,62.62700613
527.514,-28.48892124
527.847,249.3748363
528.179,348.667806
528.512,261.5365577
528.845,270.8049212
529.178,461.3603879
529.511,327.0399272
529.843,101.9607756
530.176,34.5460121
530.509,141.3588121
530.842,116.2248485
531.174,111.8139394
531.507,249.6587878
531.840,546.7206059
532.172,464.0374786
532.505,326.5248241
532.838,216.6842667
533.170,246.9368726
533.503,207.3477818
533.836,129.8660364
534.168,184.6885576
534.501,291.5349816
534.834,226.3520726
535.166,112.003418
535.499,272.4946182
535.831,447.1084848
536.164,419.9506181
536.496,208.0065695
536.829,114.9779393
537.161,178.9736485
537.494,30.86087267
537.826,-32.81910308
538.159,112.0692605
538.491,322.4127514
538.824,258.9513211
539.156,111.3978665
539.489,232.0570909
539.821,442.6477572
540.153,490.2208242
540.486,136.3653817
540.818,101.6348848
541.151,184.8209453
541.483,208.9560485
541.815,102.7163149
542.148,30.69713942
542.480,227.1750303
542.812,205.4982061
543.145,193.8213818
543.477,157.2972606
543.809,447.1542786
544.141,312.9032485
544.474,267.1872
544.806,170.8507151
545.138,372.848
545.470,284.6689454
545.802,82.87847273
546.135,48.61842418
546.467,190.2627637
546.799,252.3701091
547.131,207.7735757
547.463,165.2298423
547.795,212.6164122
548.128,194.7593939
548.460,120.9826667
548.792,207.098594
549.124,345.0661093
549.456,357.1441212
549.788,233.1946424
550.120,154.8730424
550.452,346.1946424
550.784,252.7406545
551.116,268.6975757
551.448,243.3971636
551.780,491.6725333
552.112,318.8515879
552.444,185.1508605
552.776,93.80334542
553.108,289.7774301
553.440,330.9607756
553.772,217.6529212
554.104,147.4519757
554.435,270.7442424
554.767,234.7740121
555.099,301.3419151
555.431,210.1112
555.763,334.859297
556.095,214.5882179
556.426,242.2670546
556.758,191.8507151
557.090,332.1159273
557.422,256.7528242
557.754,233.1903515
558.085,233.6709575
558.417,280.3207271
