Save Time: 2025-02-27 15:31:14
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,91.216 kHz,26.923 kHz
Period:,10.963 uS,37.143 uS
PK-PK:,72.000 V ?,1.660 V


363,800.00,-660.00
364,0.00,-680.00
365,800.00,-620.00
366,0.00,-720.00
367,800.00,-640.00
368,0.00,-680.00
369,800.00,-620.00
370,0.00,-660.00
371,400.00,-580.00
372,0.00,-640.00
373,800.00,-540.00
374,400.00,-600.00
375,800.00,-480.00
376,0.00,-560.00
377,800.00,-420.00
378,400.00,-500.00
379,800.00,-340.00
380,400.00,-420.00
381,800.00,-240.00
382,400.00,-340.00
383,800.00,-140.00
384,400.00,-260.00
385,22000.00,-40.00
386,-22400.00,-160.00
387,12400.00,60.00
388,-12400.00,-60.00
389,6000.00,160.00
390,-4000.00,40.00
391,18000.00,260.00
392,-18800.00,160.00
393,14400.00,380.00
394,-12000.00,220.00
395,5200.00,440.00
396,-3600.00,340.00
397,30800.00,520.00
398,-33600.00,440.00
399,27600.00,600.00
400,-24000.00,480.00
401,10800.00,660.00
402,-10000.00,560.00
403,5200.00,700.00
404,-3600.00,640.00
405,2400.00,760.00
406,-1200.00,600.00
407,1600.00,760.00
408,0.00,720.00
409,1200.00,780.00
410,400.00,760.00
411,1200.00,800.00
412,400.00,760.00
413,1200.00,800.00
414,800.00,760.00
415,1200.00,780.00
416,800.00,760.00
417,800.00,760.00
418,400.00,700.00
419,800.00,720.00
420,400.00,660.00
421,1200.00,680.00
422,400.00,600.00
423,800.00,600.00
424,400.00,520.00
425,800.00,520.00
426,400.00,440.00
427,800.00,440.00
428,400.00,340.00
429,24800.00,360.00
430,-19200.00,260.00
431,30800.00,260.00
432,-29200.00,140.00
433,12800.00,140.00
434,-12000.00,40.00
435,20000.00,40.00
436,-16800.00,-60.00
437,11600.00,-60.00
438,-10800.00,-160.00
439,21200.00,-160.00
440,-18400.00,-260.00
441,23200.00,-180.00
442,-18800.00,-400.00
443,28000.00,-320.00
444,-21200.00,-420.00
445,22800.00,-420.00
446,-23600.00,-500.00
447,10000.00,-420.00
448,-8800.00,-600.00
449,4000.00,-540.00
450,-3600.00,-620.00
451,2000.00,-600.00
452,-1200.00,-660.00
453,1200.00,-600.00
454,-400.00,-720.00
455,800.00,-680.00
456,0.00,-700.00
457,800.00,-680.00
458,0.00,-720.00
459,400.00,-700.00
460,0.00,-720.00
461,800.00,-680.00
462,0.00,-700.00
